# index, male, _pos
300,1,"array([37.10097824,  3.66173609])"
301,0,"array([40.79854248,  7.65096677])"
302,0,"array([-13.187024  ,   9.50846932])"
303,0,"array([7.86676013, 0.26904316])"
304,0,"array([15.60015773, -0.48250469])"
305,0,"array([ 4.2841744 , -5.42978165])"
306,0,"array([-3.42809734,  2.59552001])"
307,0,"array([ 8.48527126, -2.16279864])"
308,0,"array([ 13.82651954, -11.05798168])"
309,0,"array([12.41911315, -3.60445231])"
310,0,"array([ 2.36693566, -5.96132278])"
311,1,"array([ 7.53639813, -6.18564469])"
312,1,"array([32.8181824 , -1.88352498])"
313,0,"array([29.14471698, -2.76309185])"
314,1,"array([16.07364099, -8.24750762])"
315,0,"array([15.74638287,  0.65583257])"
316,1,"array([ 9.92615977, -9.09195929])"
317,1,"array([14.4037522 , -2.32038813])"
318,0,"array([17.24203546, -5.34102792])"
319,1,"array([16.08769646,  0.87014633])"
320,1,"array([ 8.67174842, -5.66480164])"
321,0,"array([12.35957486, -6.25663294])"
322,1,"array([ 9.07630022, -0.26515726])"
323,1,"array([ 38.26397374, -16.65247876])"
324,1,"array([ 9.21443355, -2.06523547])"
325,1,"array([10.11329959,  1.65179849])"
326,0,"array([6.17798864, 4.4208236 ])"
327,0,"array([9.00240144, 3.1644392 ])"
328,1,"array([8.52326341, 9.09414178])"
329,0,"array([5.92817299, 8.28008772])"
330,0,"array([ 7.19202639, -1.89233773])"
331,0,"array([7.98271207, 4.80980732])"
332,1,"array([2.14321264, 5.49260428])"
333,0,"array([-2.31592363,  7.63731771])"
334,1,"array([ 9.96124244, -6.77462013])"
335,0,"array([-1.49441581,  4.23477989])"
336,0,"array([3.7131049 , 1.74682679])"
337,0,"array([10.77676572, -4.87058407])"
338,0,"array([15.21223813, -3.55007967])"
339,1,"array([ 7.66853577, -1.80240213])"
340,0,"array([4.02202811, 0.13091606])"
341,0,"array([14.13923466, -2.41650188])"
342,0,"array([11.35435003, -2.12191105])"
343,1,"array([ 37.17828136, -11.48627703])"
344,0,"array([ 35.00179533, -13.41831327])"
345,0,"array([10.37483478, -4.09447629])"
346,0,"array([ 8.1582767 , 10.72924159])"
347,0,"array([5.23284442, 4.95465969])"
348,1,"array([11.35571538, -6.05778022])"
349,0,"array([10.30640716, -5.50462435])"
350,0,"array([14.54973393, -3.71754929])"
351,0,"array([10.42654482, -3.01075979])"
352,0,"array([12.67906352, -2.16293735])"
353,0,"array([10.5835076 , -0.28953631])"
354,0,"array([7.34167521, 9.34507076])"
355,1,"array([ 8.35553437, -1.12332144])"
356,0,"array([10.18109512, -4.7572472 ])"
357,1,"array([10.76333563, -3.04139848])"
358,0,"array([14.46574542, -4.17896319])"
359,1,"array([7.89754452, 9.35191449])"
360,0,"array([ 4.60209751, 11.75377771])"
361,0,"array([10.04429218, -4.6060309 ])"
362,0,"array([2.18629076, 2.22281646])"
363,0,"array([10.25819451, -2.71208252])"
364,0,"array([4.64310678, 1.30605569])"
365,0,"array([8.13604334, 5.06732882])"
366,1,"array([22.71869491,  3.28766679])"
367,0,"array([21.00878833,  3.91896464])"
368,1,"array([10.56266207, -4.74415509])"
369,0,"array([ 13.48798928, -11.72564018])"
370,0,"array([13.77247635, -4.07101683])"
371,0,"array([12.58789039, -4.5667844 ])"
372,1,"array([11.15794564, 10.0709393 ])"
373,0,"array([ 12.85191451, -10.38843142])"
374,1,"array([ 34.40474366, -13.95091598])"
375,1,"array([6.65138592, 7.3037001 ])"
376,0,"array([12.93122706, -1.90263406])"
377,0,"array([21.33578608, -5.88115578])"
378,0,"array([10.65923088,  2.11909794])"
379,1,"array([ 6.4617712 , -3.21765545])"
380,0,"array([ 0.37691939, -1.81888368])"
381,0,"array([6.85181045, 2.51696104])"
382,0,"array([ 1.33002018, -3.14367017])"
383,0,"array([7.80566383, 4.6119651 ])"
384,0,"array([4.2790852 , 3.86935853])"
385,1,"array([6.77184243, 0.63485151])"
386,0,"array([ 7.00181644, -0.80310559])"
387,0,"array([10.75599316,  4.17155606])"
388,1,"array([8.74114508, 9.19435203])"
389,0,"array([ 8.04751157, 14.56730433])"
390,1,"array([3.39884514, 1.1415079 ])"
391,0,"array([-1.12995691,  4.63433886])"
392,1,"array([6.8534773 , 5.65526638])"
393,0,"array([15.66419235, -1.56506108])"
394,0,"array([ 20.77992251, -14.7276423 ])"
395,0,"array([13.23108131, -0.24007023])"
396,0,"array([ 5.96574821, 12.00836811])"
397,1,"array([ 9.34360404, 12.34465039])"
398,1,"array([ 9.25907373, -3.09036063])"
399,0,"array([ 7.97060873, -6.06143068])"
400,0,"array([ 5.05518062, 10.39194684])"
401,0,"array([ 4.92360722, 11.21316438])"
402,0,"array([15.1381019 ,  1.51379866])"
403,1,"array([ 3.49172246, -3.02957107])"
404,1,"array([  5.48581397, -15.33981971])"
405,0,"array([  6.68609653, -17.2142667 ])"
406,0,"array([14.82651529,  0.53849108])"
407,0,"array([12.03488566, -3.21955338])"
408,0,"array([2.58287411, 1.19778272])"
409,0,"array([ 9.59263309, -5.08540111])"
410,0,"array([  7.53418794, -12.39976759])"
411,0,"array([-1.83848653, -0.87049606])"
412,1,"array([ -28.89772679, -108.00233372])"
413,0,"array([ -28.13849685, -108.48208725])"
414,1,"array([-0.51571351,  1.48498141])"
415,0,"array([  1.49920851, -18.47735292])"
416,0,"array([15.92721599, -9.55728025])"
417,0,"array([10.61290281, -5.23562054])"
418,0,"array([15.37652051,  6.84270613])"
419,0,"array([18.97607688,  0.94657771])"
420,0,"array([-2.15801933, -1.99282157])"
421,0,"array([-1.79974997, -1.69821358])"
422,1,"array([ 40.47875254, 112.76580259])"
423,0,"array([ 39.6266708 , 113.33571414])"
424,0,"array([10.79450499,  1.60498694])"
425,0,"array([  4.32758361, -10.82483835])"
426,1,"array([  9.03837829, -21.31545987])"
427,0,"array([ 6.05929771, -9.71769996])"
428,0,"array([ 9.48051607, -2.53942335])"
429,1,"array([15.90627779, -2.95689367])"
430,0,"array([5.52604129, 2.2671761 ])"
431,0,"array([ 32.09979659, -22.50353379])"
432,0,"array([ 5.17213087, -0.54578067])"
433,1,"array([31.57156912, -6.79656475])"
434,0,"array([ 31.44338745, -10.48110663])"
435,1,"array([ 4.4460325 , -2.87890781])"
436,0,"array([-0.19784845, -3.76145818])"
437,1,"array([  -2.95044831, -121.51105566])"
438,0,"array([  -2.35064669, -120.77797207])"
439,0,"array([36.53166327, -4.55046627])"
440,0,"array([8.79574329, 9.72209393])"
441,0,"array([ 2.76419642, -0.21903228])"
442,0,"array([ 2.50922125, -1.72382759])"
443,0,"array([ 8.86535759, -3.0093531 ])"
444,0,"array([ 7.06343677, 10.53453357])"
445,1,"array([41.42113951, -4.03492658])"
446,1,"array([ 6.91555859, -7.18281307])"
447,0,"array([12.48202436, -0.91035229])"
448,0,"array([ 0.28146781, -8.45619007])"
449,1,"array([6.83817617, 7.08143579])"
450,1,"array([ 29.94197023, -10.79209033])"
451,1,"array([ 4.91364107, -1.1043828 ])"
452,0,"array([ 13.36786676, -10.806369  ])"
453,0,"array([ 2.09223788, -3.22472535])"
