strategy,strategy_name,vertex_index,metric,start,vaccine_fraction,max_steps,saved_at_utc
1,DEGREE,9262,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9952,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,13024,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,14091,46.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,54,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,368,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1987,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3719,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5290,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7303,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7433,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8622,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10826,45.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1200,44.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3717,44.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6120,44.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9465,44.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1049,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1298,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1435,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1628,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1956,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3227,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3655,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5248,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7541,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7952,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10724,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11978,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12030,43.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,702,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3135,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4515,42.0,1000,0.1,-1,2025-10-25T10:12:30
